"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"ME"	0.00163248847912247	0.0434827667633288	5.63157894736842
"EE"	0.00014816057252813	0.0111614297971191	4.82253521126761
"G.box"	0.00102108700217666	0.0355024096141422	2.13715046604527
"BEE2"	0.00123831025778511	0.0399797311799194	2.10078534031414
"BIM2"	0.000998304180629195	0.0355024096141422	2.14142761841227
"BIM3"	0.000700494801565327	0.0316623650307528	2.20922229869236
"CCA1"	0.000779050239030715	0.0320118825492621	3.05714285714286
"At3g09600"	4.66358161250996e-05	0.00526984722213625	3.48913043478261
"At5g52660"	1.89826828250982e-05	0.0042900863184722	3.81008902077151
"At4g01280"	0.000117211301175087	0.0105959016262278	3.182156133829
"AT3G10113"	0.00163541379419599	0.0434827667633288	2.78283485045514
"EPR1"	0.000282749618588076	0.0182575468002586	3.85971943887776
"MYC3"	0.00198061458144951	0.0471177784639566	2.11283497884344
"UNE10"	0.00150087342794645	0.0434827667633288	2.29159802306425
"RVE1"	0.00173709554218862	0.0436203991705142	2.76129032258065
"LHY1"	3.35093931304753e-05	0.00504874856499161	3.05714285714286
"LCL1"	3.87546456575187e-06	0.00175170998371985	4.43523316062176
"GBF6"	0.000385670298527921	0.0217903718668275	11.2631578947368
"GBF3"	0.000674629407878413	0.0316623650307528	9.72727272727273
