GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0007623	circadian rhythm	2.91983524680083e-13	7.79134984277905e-11	15.68 (14/109; 171/20876)	AT3G48360 AT2G43010 AT1G22770 AT5G08330 AT2G21660 AT3G62980 AT5G61380 AT5G37260 AT1G18330 AT3G51400 AT5G48250 AT4G39260 AT4G33980 AT4G11600
GO:0048511	rhythmic process	2.91983524680083e-13	7.79134984277905e-11	15.68 (14/109; 171/20876)	AT3G48360 AT2G43010 AT1G22770 AT5G08330 AT2G21660 AT3G62980 AT5G61380 AT5G37260 AT1G18330 AT3G51400 AT5G48250 AT4G39260 AT4G33980 AT4G11600
GO:0009414	response to water deprivation	3.81723839303835e-08	6.44338140952808e-06	6.41 (14/109; 418/20876)	AT1G73480 AT1G01720 AT2G17840 AT3G46620 AT5G05410 AT1G11210 AT2G21660 AT4G39090 AT1G78380 AT4G30660 AT1G01620 AT4G04330 AT5G67030 AT3G05630
GO:0009415	response to water	4.82935884737805e-08	6.44338140952808e-06	6.29 (14/109; 426/20876)	AT1G73480 AT1G01720 AT2G17840 AT3G46620 AT5G05410 AT1G11210 AT2G21660 AT4G39090 AT1G78380 AT4G30660 AT1G01620 AT4G04330 AT5G67030 AT3G05630
GO:0009753	response to jasmonic acid	1.79037561127518e-07	1.91099038929793e-05	5.66 (14/109; 474/20876)	AT3G48360 AT1G01720 AT1G59870 AT2G43010 AT5G05140 AT5G08330 AT5G37260 AT1G64610 AT5G42650 AT1G02450 AT4G36030 AT5G59430 AT1G15750 AT3G05120
GO:0010363	regulation of plant-type hypersensitive response	5.54003646537756e-07	3.89178747601056e-05	6.19 (12/109; 371/20876)	AT1G09070 AT1G59870 AT2G40140 AT2G43010 AT3G27210 AT5G08330 AT1G64610 AT5G42650 AT1G02450 AT4G36030 AT4G33430 AT1G13260
GO:0006612	protein targeting to membrane	6.03229821170009e-07	3.89178747601056e-05	6.15 (12/109; 374/20876)	AT1G09070 AT1G59870 AT2G40140 AT2G43010 AT3G27210 AT5G08330 AT1G64610 AT5G42650 AT1G02450 AT4G36030 AT4G33430 AT1G13260
GO:0072657	protein localization to membrane	6.56307355421899e-07	3.89178747601056e-05	6.1 (12/109; 377/20876)	AT1G09070 AT1G59870 AT2G40140 AT2G43010 AT3G27210 AT5G08330 AT1G64610 AT5G42650 AT1G02450 AT4G36030 AT4G33430 AT1G13260
GO:0090150	establishment of protein localization to membrane	6.56307355421899e-07	3.89178747601056e-05	6.1 (12/109; 377/20876)	AT1G09070 AT1G59870 AT2G40140 AT2G43010 AT3G27210 AT5G08330 AT1G64610 AT5G42650 AT1G02450 AT4G36030 AT4G33430 AT1G13260
GO:0080135	regulation of cellular response to stress	8.18698969522436e-07	4.3692671320829e-05	5.97 (12/109; 385/20876)	AT1G09070 AT1G59870 AT2G40140 AT2G43010 AT3G27210 AT5G08330 AT1G64610 AT5G42650 AT1G02450 AT4G36030 AT4G33430 AT1G13260
