peak	through	p-value	fdr	enrichment	Intersection Genes
Any	Any	1	1	1	AT1G01060,AT1G04400,AT1G09530,AT1G09570,AT2G18790,AT2G25930,AT2G37678,AT2G40080,AT2G43010,AT2G46790,AT2G46830,AT3G46640,AT3G59060,AT5G02810,AT5G24470,AT5G61380
Any	ZT0	0.95773717285622	1	0.457409753008233	AT2G40080,AT5G24470
Any	ZT12	0.805240069103712	1	0.703947368421053	AT1G01060,AT1G09570
Any	ZT16	0.423075667309141	1	1.40515564202335	AT2G46830,AT3G59060
Any	ZT20	0.114792806729702	1	2.48480504587156	AT1G09530,AT2G43010,AT5G02810
Any	ZT4	0.633183753390483	1	0.957045053003534	AT1G04400,AT2G25930,AT5G61380
Any	ZT8	1	1	0	
ZT0	Any	0.909645970637652	1	0.612422272470322	AT1G01060,AT1G09570,AT2G46830
ZT0	ZT0	1	1	0	
ZT0	ZT12	0.587672620788342	1	1.04371387283237	AT1G01060,AT1G09570
ZT0	ZT16	0.283519308858056	1	3.03466386554622	AT2G46830
ZT0	ZT20	1	1	0	
ZT0	ZT4	1	1	0	
ZT0	ZT8	1	1	0	
ZT12	Any	0.858308859797012	1	0.626953125	AT2G40080,AT5G61380
ZT12	ZT0	0.862068636484981	1	0.537388392857143	AT2G40080
ZT12	ZT12	1	1	0	
ZT12	ZT16	1	1	0	
ZT12	ZT20	1	1	0	
ZT12	ZT4	0.565587002853298	1	1.23250853242321	AT5G61380
ZT12	ZT8	1	1	0	
ZT16	Any	1	1	0	
ZT16	ZT0	1	1	0	
ZT16	ZT12	1	1	0	
ZT16	ZT16	1	1	0	
ZT16	ZT20	1	1	0	
ZT16	ZT4	1	1	0	
ZT16	ZT8	1	1	0	
ZT20	Any	0.337693153262639	1	1.67575406032483	AT1G04400,AT2G25930
ZT20	ZT0	1	1	0	
ZT20	ZT12	1	1	0	
ZT20	ZT16	1	1	0	
ZT20	ZT20	1	1	0	
ZT20	ZT4	0.0748687617325437	1	4.37727272727273	AT1G04400,AT2G25930
ZT20	ZT8	1	1	0	
ZT4	Any	0.699678360506643	1	0.858799048751486	AT2G43010,AT3G59060
ZT4	ZT0	1	1	0	
ZT4	ZT12	1	1	0	
ZT4	ZT16	0.585451236537598	1	1.16868932038835	AT3G59060
ZT4	ZT20	0.338253049856061	1	2.45663265306122	AT2G43010
ZT4	ZT4	1	1	0	
ZT4	ZT8	1	1	0	
ZT8	Any	0.516417100310946	1	1.12034643226474	AT1G09530,AT5G02810,AT5G24470
ZT8	ZT0	0.847545812528775	1	0.5642578125	AT5G24470
ZT8	ZT12	1	1	0	
ZT8	ZT16	1	1	0	
ZT8	ZT20	0.0820989950813057	1	4.15086206896552	AT1G09530,AT5G02810
ZT8	ZT4	1	1	0	
ZT8	ZT8	1	1	0	
