gene ZT0 ZT4 ZT8 ZT12 ZT16 ZT20
ATMG00640 4.87077825537573 4.69248330855035 4.67950349499331 4.86793490693556 4.91556497178044 4.88995965840758
ATMG00650 5.3057941901085 5.185066854996 5.1830570697258 5.20847215040554 5.25527690328989 5.25083599524541
ATMG00660 7.89741020319263 7.64544993894252 7.51236233085412 7.71826115215523 7.95170728471723 7.80294974502457
ATMG00670 6.43960258915222 6.36310228870481 6.15152506912164 6.25224505478281 6.03248042758719 6.160467555822
ATMG00680 5.48229848616445 5.59266246152365 5.67063655216101 5.54875507435207 5.54143076628147 5.44663206669538
ATMG00690 7.33362255926168 7.05283220573363 6.99065955652129 7.16526265733446 7.25146472962654 7.26032344177296
ATMG00710 4.36305029940137 4.38430356020656 4.41580396071561 4.30933611283946 4.39609577827914 4.39804978760999
ATMG00720 4.96332669786905 4.85178999659168 4.99051471206406 4.80320064631036 4.96118422875677 4.77608633121486
ATMG00740 5.08978751050346 5.16056161762869 5.16301068456714 5.03261136254103 5.29950282441968 5.2217617329999
ATMG00750 4.36747299916571 4.4726846112798 4.62907544943377 4.48087319822874 4.50422783068975 4.30618323927362
ATMG00820 4.08148509930535 4.14258320754601 4.18597004622346 4.06349826975086 4.09208617644165 4.13010478819966
ATMG00830 9.0295869126104 8.70986519344489 8.49120419951386 8.68648912387444 8.56257142273136 8.56570022760774
ATMG00840 6.29390445581035 6.30635503946128 6.47751159044327 6.31156746123384 6.44496406002137 6.29292311423135
ATMG00850 4.22595328985323 4.318211825185 4.20157277831371 4.22919873555063 4.26088052953156 4.18895123766735
ATMG00860 5.44733141511574 5.42175587867536 5.40587392967396 5.27821682418519 5.62758694403104 5.44350508568705
ATMG00880 4.99447303662446 5.03552958517624 5.01203910634032 4.84507746693363 4.90568089977469 4.75254618950252
ATMG00870 4.81927170049349 4.87299325989584 4.82403688703193 4.86825753477186 4.89720837205273 4.91425446248433
ATMG00890 4.2936518444077 4.34052312712627 4.37885752763906 4.24509769127548 4.28028275580204 4.27987532641973
unknown_1 5.96438169970712 6.19450483192651 6.06951548964163 6.03187124327225 6.07907682278573 6.12991555731012
unknown_2 8.31290830940639 7.84564222899423 7.76930826048322 7.93862184346832 8.01103402550677 8.18981701699801
ATMG01000 6.79312877741063 6.42976932127005 6.23296724287076 6.4149959630412 6.54944815310722 6.71011387870353
unknown_3 5.39128095542574 5.14603536252978 5.1747468347022 5.29164529444784 5.23156742707708 5.32859092177665
ATMG01020 6.20059266169866 6.19470266111936 6.14975035250608 6.17189857122639 6.19091510092239 6.09195408631629
ATMG01040 5.44500801801874 5.52642376897609 5.50814215844107 5.41162924019446 5.61420147801983 5.56538551006288
ATMG00510 4.56787621712017 4.51310770540347 4.60484345012071 4.64833615835032 4.48909901538433 4.5769172845471
ATMG00520 4.59602015162304 4.68878284117821 4.56639553776736 4.49393225931689 4.55386727074885 4.6357456083193
unknown_4 5.81406760854549 5.92359428569949 5.89321757065308 5.75955525341404 5.76816727539795 5.76618283041856
ATMG00570 6.83686689858549 6.91222566900893 6.84265259773704 6.60513734602847 6.81902698927503 6.7828863861213
ATMG00580 8.63580599499923 8.47268036249259 8.25503567492849 8.19580606439968 8.32357614548658 8.3449782783521
ATMG00600 4.04875988408389 4.09689223284383 4.10116932248536 4.00743991605808 4.14912387864246 4.1514354133586
ATMG00630 4.56988478798963 4.63379961097525 4.65525920445223 4.58228480939293 4.70664145139481 4.53590140819852
ATCG01060 8.94157904212462 9.08548603726348 8.22390514103448 8.62493512226621 8.25166940326449 8.67555633109497
ATCG01070 8.74201564518549 8.99616630913771 8.23779335439873 8.07003592703359 8.18195779547449 8.54032186417752
ATCG01080 7.86468687496435 8.28757423954523 7.79919989286015 7.79584384373925 7.7415444293995 8.03906658423264
ATCG01090 13.5892616468115 13.4656488851057 13.2418897305135 13.2703357049234 13.4432143514432 13.4268486891282
ATCG01100 12.4121195499401 12.211929263276 11.8715405238164 11.7862382243321 12.0793433449494 12.0356137029327
ATCG01110 9.32802722440655 8.88330821671607 8.28218906149633 7.9984804500187 8.2542989267285 8.36146854936649
ATCG01120 8.85711200068508 8.60855181871259 8.71087816826734 8.60300442973072 9.03297874428382 8.76893612712883
ATCG00065 10.4400248504678 10.2972287147126 10.1027093233989 10.0276765368747 10.1909019642446 10.2976628423174
unknown_5 12.647627833316 12.6465384398358 12.3927800372926 12.2298777667198 12.5847643175167 12.5697852657587
ATMG00010 5.89536347290391 5.87327278911243 5.99965733955336 5.91919985382341 6.07062067458855 6.00416193876849
ATMG00050 4.75588132633216 4.83458348529267 4.83415489867705 4.7520028204097 4.73766379654715 4.70429236904269
ATMG00070 5.91024944212511 5.78927337074583 5.63780234536151 5.74309257220014 5.90567889310213 5.92177573723878
unknown_6 8.25065671950278 8.22914629671991 8.19102093683497 8.11374912257276 8.22736307072143 8.11695785710501
ATMG00110 5.32793587911458 5.39894183038788 5.15636224018991 5.1659792400971 5.3965596750172 5.34116457864508
unknown_7 5.45682322815572 5.57022851439668 5.53079795293024 5.45548258411281 5.60702439749296 5.46738544984175
ATMG00130 4.24317882282135 4.30629374280467 4.3593698305762 4.25790215212504 4.4053426234082 4.33547859420754
ATMG00140 4.8573659648497 4.98614511295167 4.79349105551012 4.84657228314231 4.82764265903317 4.74647888938442
ATMG00150 4.95115421296188 4.98495813815854 4.88396902590472 4.91638765483111 4.9636488145567 5.04186187034826
ATMG00160 5.38775355454638 5.30304324036374 5.22377828253419 5.36000808920921 5.3762166805624 5.43129341566021
ATMG00180 8.01149763186668 7.76871151572503 7.7712020161388 7.93633281395414 7.86453584467219 7.72911829009881
ATMG00260 5.18237240752048 5.06537147915134 5.07663063208488 5.03763411138389 5.18856611461661 5.13723343817806
ATMG00270 4.81095619671631 4.98082588809986 4.92618539697269 5.05731665329566 4.93180878522014 4.9364685298843
unknown_8 4.20347461526487 4.15170704351186 4.06427537899804 4.22339850040272 4.14230555858147 4.26142162947299
ATMG00320 4.53499377933757 4.6406546388221 4.59717997118288 4.48471785900388 4.71564454767227 4.58484349511295
ATMG00310 5.02886341440152 5.09184050190092 4.92602731811661 4.93693748794325 4.85009869573063 5.03510517226199
ATMG00400 4.93302069802297 5.02827512826802 4.98873471463609 4.75412963079755 5.08689137531016 5.0432966575143
ATMG00450 5.55749735883577 5.60616224214834 5.69219882528769 5.57968289652881 5.72542402761593 5.74552921653362
unknown_9 7.70919174903031 7.55712797729021 7.23087440152619 7.47246421972564 7.32241163546054 7.20783172036855
ATCG01020 11.8364192170244 12.0707862424316 11.9569516986035 11.4759553199126 11.8900710235841 11.6882375490292
ATCG01040 12.9245686694751 12.7942593021338 12.6295610373557 12.6490966828124 12.7597862460973 12.6736521496661
ATCG01050 11.7251912833534 11.3852985213726 11.1066420106651 10.9532994999962 11.1737190119777 11.4072420965563
ATCG00570 12.4385249417069 12.2619937671352 12.020656407469 11.9478521767256 12.0948041107064 12.1224743289691
ATCG00580 11.9140807445167 11.5651226985072 11.220693086521 11.0583882316929 11.2187090178084 11.433657971675
ATCG00590 10.9570942156885 10.9044577609717 10.6349822877006 10.2810636405728 10.7262515428392 10.5623341235958
ATCG00600 7.67230762891547 7.95907299100813 7.27886121345486 7.27210341800493 7.07922125675212 7.63739183282991
ATCG00630 12.8191530826999 12.8630163783337 12.6814191896345 12.6349362985868 12.7142871360113 12.5758335476311
ATCG00640 12.0912589433243 11.411098256372 11.2036021825917 11.2428293155847 11.7771933357706 11.7887521280482
ATCG00650 11.2056412637177 10.7369375575217 10.1332681915623 10.1000130934016 10.7815493081763 10.6572407212034
ATCG00660 9.59100331810333 9.5184191706317 9.32816854420082 9.24825478404395 9.50317293735028 9.49996930954073
ATCG00670 12.6549720390277 12.5273666612027 12.27848054434 12.3036240301985 12.638875903989 12.5562191603902
ATCG00680 10.1770484602023 10.2142010202959 9.40572879753084 8.99854739957669 9.25944285671158 9.48239192851237
ATCG00690 9.47642858303615 9.61995166289416 9.0407856467975 8.53351809194507 9.02020065006133 9.09651154430251
ATCG00700 9.76182177786081 9.27328290205501 9.10014652129025 8.92673709217483 9.37254196387278 9.36267275381244
ATCG00710 11.8914573602203 11.9082749774779 11.5390225814301 11.2351982374507 11.5536486219665 11.5641593151964
ATCG00720 13.616717405253 13.7141302597404 13.5512107659174 13.3439288356673 13.5741327833361 13.5563212728537
ATCG00730 5.91692601755614 6.37230026192731 6.13098113858782 5.91017839373735 6.01944243062341 6.27105169976908
ATCG00740 12.8167768055296 12.8182209619385 12.6877072082464 12.5270142238345 12.8000793243673 12.8944132801456
ATCG00750 13.1652582898477 13.0121273323297 12.8164241648081 12.6551765035326 13.0710855022849 13.1898497286488
ATCG00760 12.3135119419194 12.1234359403788 11.8139952484209 11.5685168207003 12.0170829754502 12.2768401562501
ATCG00770 11.6039829297246 11.4248864368332 11.0145314426031 10.6595029833397 11.1873304661645 11.3641977906706
ATCG00780 11.1577172962754 10.8790146974721 10.3200589047881 10.1419054080957 10.5873524330026 10.9308149421306
ATCG00790 12.5669053310847 12.6228585407851 12.2111837107213 12.0706208240306 12.3797767650325 12.3946850542818
ATCG00800 12.2367105371121 12.4069909840489 12.0448290031886 11.8845162595324 12.3362750236978 12.3314706211017
ATCG00810 12.1840057818888 12.2588327665107 11.856620842296 11.8672565005711 12.309440271863 12.4251503140332
ATCG00820 12.3056177885199 12.3304431120322 12.138401203794 11.845802400265 12.306524967651 12.3452690832762
unknown_10 13.6635791548095 13.5255966647374 13.4594269153399 13.4327983731483 13.6813138651932 13.6924950947618
unknown_11 12.9908445095663 12.8320253367242 12.6372250647731 12.3530912807117 12.93519476921 12.9281196592987
unknown_12 5.50687928124162 5.56472425906261 5.76357030569668 5.2666289986495 5.71230610938797 5.67062207422637
unknown_13 6.09394321577502 6.54512898300161 6.73804952172019 5.93448421039229 6.50158704631448 6.59156095837173
unknown_14 6.85763790538782 7.17123828907564 6.88943697034969 6.69239326424796 6.98816891031747 7.02792569472512
unknown_15 13.7682550801354 13.7103419102312 13.5968476655101 13.6038185129312 13.8727426646767 13.7746408884556
unknown_16 11.7119052281441 11.9002882061095 11.6688839327731 11.4496567573784 11.7580173452775 11.6229052098255
ATCG01010 6.02240806269183 6.31815351146233 6.10652146925316 6.02751905485808 6.11776811301358 6.20215638443714
ATCG00150 7.82074038316982 8.42736419098865 7.69384108222109 7.42854998803371 7.5552975481062 7.64854186112936
ATCG00160 11.2865024064348 11.3378524471062 10.8671516012571 10.689849878521 11.1128085701611 11.1203158995043
ATCG00170 10.1914127619598 10.0055112377878 9.55392704893916 9.43753380420741 10.0713989163972 10.0762054485062
ATCG00180 10.3818667511069 10.3842637429265 9.70002722639763 9.7478085120724 10.1571456658918 10.2908488423542
ATCG00190 6.04152663834578 6.70691620359511 6.34156809356882 5.73776609617594 5.91344676001845 6.15268783197449
ATCG00210 8.39844854132147 8.90093962068991 8.66093114351014 8.69682756009445 8.75796727066527 9.03406084045112
ATCG00220 13.5646335282862 13.7014795117041 13.7120352734658 13.5952464799674 13.7270294845962 13.5995935726311
ATCG00270 9.94790633353555 10.0171646767922 9.32958471302953 8.83846746129366 9.37712781664694 9.22821190251105
