genes troughs peaks
AT5G63670 ZT8 ZT0
AT5G63800 ZT16 ZT8
AT5G63710 ZT8 ZT16
AT5G63480 ZT12 ZT0
AT5G63140 ZT4 ZT16
AT5G63220 ZT20 ZT8
AT5G63290 ZT4 ZT12
AT5G63320 ZT0 ZT4
AT5G63280 ZT4 ZT0
AT5G63190 ZT12 ZT0
AT5G63180 ZT0 ZT12
AT5G63120 ZT20 ZT8
AT5G63380 ZT16 ZT0
AT5G63410 ZT4 ZT16
AT5G63420 ZT4 ZT12
unknown_283 ZT4 ZT0
AT5G63130 ZT20 ZT4
AT5G62960 ZT12 ZT4
AT5G62840 ZT0 ZT12
AT5G62890 ZT8 ZT16
AT5G62880 ZT4 ZT0
AT5G62920 ZT16 ZT0
AT5G62900 ZT4 ZT20
AT5G62980 ZT0 ZT8
AT5G62990 ZT4 ZT12
AT5G63070 ZT20 ZT8
AT5G63040 ZT20 ZT12
AT5G63030 ZT8 ZT0
AT5G62810 ZT0 ZT12
AT5G62550 ZT0 ZT8
AT5G62570 ZT12 ZT0
AT5G62620 ZT4 ZT16
AT5G62610 ZT8 ZT12
AT5G62530 ZT0 ZT12
AT5G62460 ZT16 ZT4
AT5G62670 ZT8 ZT16
AT5G62680 ZT4 ZT12
AT5G62710 ZT0 ZT8
AT5G62720 ZT4 ZT12
AT5G62640 ZT0 ZT8
AT5G62730 ZT12 ZT0
AT5G62290 ZT20 ZT12
AT5G62350 ZT0 ZT8
AT5G62430 ZT16 ZT0
AT5G62440 ZT16 ZT4
AT5G62170 ZT16 ZT4
AT5G62200 ZT4 ZT12
AT5G62100 ZT8 ZT0
AT5G62070 ZT0 ZT12
AT5G62190 ZT12 ZT0
AT5G62130 ZT8 ZT0
AT5G62280 ZT16 ZT4
AT5G62360 ZT0 ZT8
AT5G62390 ZT16 ZT4
unknown_286 ZT4 ZT16
AT5G61790 ZT0 ZT12
AT5G61760 ZT4 ZT16
AT5G61840 ZT4 ZT16
AT5G61810 ZT0 ZT8
AT5G61940 ZT0 ZT12
AT5G61930 ZT0 ZT4
AT5G62040 ZT0 ZT12
AT5G61510 ZT4 ZT12
AT5G61780 ZT20 ZT8
AT5G61410 ZT8 ZT20
AT5G61440 ZT4 ZT20
AT5G61380 ZT4 ZT12
AT5G61520 ZT4 ZT16
AT5G61560 ZT8 ZT0
AT5G61570 ZT0 ZT12
AT5G61580 ZT0 ZT8
AT5G61590 ZT12 ZT20
AT5G61600 ZT4 ZT16
AT5G61670 ZT16 ZT0
AT5G61530 ZT4 ZT8
AT5G61370 ZT4 ZT8
AT5G61010 ZT16 ZT12
AT5G61060 ZT8 ZT0
AT5G61070 ZT12 ZT0
AT5G61170 ZT0 ZT12
AT5G61190 ZT0 ZT12
AT5G61240 ZT0 ZT4
AT5G61210 ZT0 ZT12
AT5G61220 ZT0 ZT12
unknown_288 ZT16 ZT8
AT5G61030 ZT0 ZT12
AT5G61280 ZT0 ZT8
AT5G61290 ZT0 ZT8
AT5G61330 ZT16 ZT4
AT5G60750 ZT4 ZT16
AT5G60680 ZT12 ZT0
AT5G60640 ZT0 ZT16
AT5G60690 ZT8 ZT16
AT5G60790 ZT16 ZT4
AT5G60800 ZT8 ZT16
AT5G60840 ZT20 ZT4
AT5G60860 ZT12 ZT4
AT5G60890 ZT0 ZT4
AT5G60850 ZT12 ZT0
AT5G60900 ZT0 ZT12
AT5G60930 ZT0 ZT8
AT5G60950 ZT4 ZT16
AT5G60970 ZT8 ZT0
AT5G61000 ZT0 ZT12
AT5G60960 ZT20 ZT4
AT5G60990 ZT20 ZT4
AT5G60710 ZT4 ZT16
AT5G60270 ZT4 ZT20
AT5G60160 ZT0 ZT16
AT5G60460 ZT0 ZT12
AT5G60540 ZT4 ZT12
unknown_291 ZT0 ZT12
AT5G59990 ZT8 ZT0
AT5G59960 ZT8 ZT0
AT5G59870 ZT0 ZT12
AT5G59910 ZT0 ZT12
AT5G59850 ZT20 ZT4
AT5G59845 ZT16 ZT8
AT5G59880 ZT8 ZT16
AT5G60040 ZT0 ZT8
AT5G60120 ZT0 ZT4
AT5G60100 ZT0 ZT12
AT5G60230 ZT12 ZT0
AT5G59540 ZT0 ZT4
AT5G59670 ZT0 ZT12
AT5G59700 ZT16 ZT4
AT5G59740 ZT8 ZT0
AT5G59770 ZT8 ZT0
AT5G59800 ZT8 ZT0
unknown_293 ZT0 ZT12
AT5G59730 ZT12 ZT0
AT5G59750 ZT12 ZT0
AT5G59780 ZT12 ZT4
AT5G59830 ZT4 ZT0
AT5G59560 ZT8 ZT0
AT5G59480 ZT8 ZT0
AT5G59300 ZT20 ZT8
AT5G59340 ZT12 ZT0
AT5G59350 ZT0 ZT12
AT5G59320 ZT0 ZT8
AT5G59150 ZT8 ZT0
AT5G59380 ZT8 ZT0
AT5G59430 ZT8 ZT4
AT5G59400 ZT16 ZT0
AT5G59200 ZT0 ZT8
AT5G59240 ZT20 ZT4
AT5G58960 ZT20 ZT8
AT5G59010 ZT4 ZT16
AT5G59020 ZT0 ZT16
AT5G59030 ZT8 ZT0
AT5G59000 ZT0 ZT12
AT5G58950 ZT8 ZT0
AT5G59080 ZT12 ZT0
AT5G59130 ZT20 ZT8
AT5G59180 ZT20 ZT12
AT5G58870 ZT8 ZT4
AT5G58900 ZT0 ZT16
AT5G58590 ZT0 ZT12
AT5G58700 ZT0 ZT8
AT5G58800 ZT4 ZT20
AT5G58600 ZT4 ZT8
AT5G58720 ZT12 ZT0
AT5G58710 ZT4 ZT12
AT5G58787 ZT4 ZT20
AT5G58650 ZT12 ZT0
AT5G58670 ZT0 ZT8
AT5G58570 ZT4 ZT16
AT5G58270 ZT8 ZT20
AT5G58290 ZT0 ZT16
AT5G58430 ZT12 ZT0
AT5G58310 ZT4 ZT12
AT5G58420 ZT20 ZT4
AT5G58375 ZT4 ZT0
AT5G58350 ZT8 ZT0
AT5G58380 ZT8 ZT0
AT5G58230 ZT20 ZT12
AT5G58480 ZT12 ZT0
AT5G58520 ZT12 ZT4
AT5G58550 ZT8 ZT0
AT5G58575 ZT4 ZT0
AT5G58490 ZT4 ZT12
AT5G58030 ZT4 ZT16
AT5G58090 ZT4 ZT0
AT5G58110 ZT8 ZT0
AT5G58120 ZT8 ZT0
AT5G58150 ZT8 ZT0
AT5G58070 ZT16 ZT8
AT5G58220 ZT4 ZT12
AT5G58240 ZT4 ZT0
AT5G58250 ZT0 ZT8
AT5G57630 ZT0 ZT8
AT5G57580 ZT4 ZT12
AT5G57780 ZT12 ZT4
AT5G57700 ZT0 ZT12
AT5G57785 ZT8 ZT0
AT5G57830 ZT4 ZT16
AT5G57850 ZT4 ZT16
AT5G57940 ZT12 ZT0
AT5G57960 ZT8 ZT0
AT5G57970 ZT0 ZT12
AT5G57360 ZT8 ZT0
AT5G57345 ZT16 ZT4
AT5G57340 ZT12 ZT4
AT5G57460 ZT0 ZT12
AT5G57440 ZT4 ZT0
AT5G57410 ZT0 ZT8
AT5G57590 ZT20 ZT4
AT5G57610 ZT16 ZT4
AT5G57660 ZT16 ZT0
AT5G57500 ZT0 ZT16
AT5G57490 ZT8 ZT0
AT5G57560 ZT12 ZT0
AT5G57280 ZT20 ZT8
AT5G57040 ZT16 ZT4
AT5G56980 ZT8 ZT0
AT5G56940 ZT20 ZT12
AT5G57110 ZT4 ZT8
AT5G57170 ZT4 ZT20
AT5G57100 ZT4 ZT0
AT5G57180 ZT16 ZT4
AT5G57130 ZT8 ZT0
AT5G57220 ZT12 ZT16
AT5G57230 ZT4 ZT12
AT5G57250 ZT12 ZT4
AT5G57260 ZT12 ZT8
AT5G56870 ZT4 ZT16
AT5G56950 ZT20 ZT8
AT5G57050 ZT16 ZT12
AT5G57080 ZT4 ZT12
AT5G56590 ZT8 ZT0
AT5G56600 ZT0 ZT12
AT5G56610 ZT4 ZT12
AT5G56670 ZT0 ZT8
AT5G56740 ZT16 ZT4
AT5G56780 ZT4 ZT0
AT5G56850 ZT8 ZT20
AT5G56710 ZT0 ZT4
AT5G56750 ZT12 ZT0
AT5G56860 ZT8 ZT0
AT5G56630 ZT0 ZT8
AT5G56790 ZT8 ZT20
AT5G56900 ZT8 ZT0
AT5G56350 ZT0 ZT8
AT5G56130 ZT20 ZT8
AT5G56140 ZT4 ZT0
AT5G56160 ZT16 ZT4
AT5G56170 ZT8 ZT16
AT5G56180 ZT16 ZT4
AT5G56190 ZT0 ZT8
AT5G55990 ZT4 ZT8
AT5G56260 ZT0 ZT12
AT5G56270 ZT4 ZT16
AT5G56280 ZT0 ZT8
AT5G56290 ZT8 ZT0
AT5G56310 ZT4 ZT12
AT5G56460 ZT8 ZT20
AT5G56490 ZT4 ZT20
AT5G56500 ZT0 ZT8
AT5G55850 ZT4 ZT16
AT5G55710 ZT0 ZT16
AT5G55630 ZT12 ZT0
AT5G55620 ZT12 ZT4
AT5G55700 ZT4 ZT0
AT5G55910 ZT12 ZT0
AT5G55900 ZT8 ZT0
AT5G55920 ZT20 ZT4
AT5G55930 ZT12 ZT16
AT5G55950 ZT20 ZT4
AT5G55940 ZT4 ZT0
AT5G55960 ZT0 ZT12
unknown_303 ZT0 ZT12
AT5G56020 ZT12 ZT0
AT5G56030 ZT0 ZT12
AT5G56040 ZT4 ZT16
AT5G56090 ZT0 ZT4
AT5G56100 ZT12 ZT0
AT5G55830 ZT4 ZT12
AT5G55530 ZT4 ZT20
AT5G55340 ZT0 ZT12
AT5G55450 ZT0 ZT12
unknown_304 ZT16 ZT4
AT5G55590 ZT12 ZT4
AT5G55380 ZT8 ZT0
AT5G55400 ZT0 ZT4
AT5G55170 ZT4 ZT12
AT5G55260 ZT8 ZT20
AT5G55180 ZT20 ZT8
AT5G55250 ZT16 ZT4
AT5G55280 ZT0 ZT12
AT5G54870 ZT4 ZT16
AT5G55000 ZT8 ZT0
AT5G55050 ZT0 ZT12
AT5G54540 ZT16 ZT8
AT5G54760 ZT0 ZT12
AT5G54770 ZT0 ZT16
AT5G54860 ZT0 ZT12
AT5G54910 ZT0 ZT8
AT5G54960 ZT0 ZT8
AT5G54970 ZT0 ZT12
AT5G54980 ZT4 ZT16
AT5G54880 ZT0 ZT12
AT5G54900 ZT0 ZT12
AT5G54930 ZT4 ZT12
AT5G54270 ZT16 ZT4
AT5G54260 ZT20 ZT0
AT5G54250 ZT4 ZT12
AT5G54470 ZT16 ZT4
AT5G54500 ZT0 ZT8
AT5G54510 ZT12 ZT0
AT5G54520 ZT12 ZT0
AT5G54610 ZT16 ZT12
AT5G54580 ZT20 ZT4
AT5G54600 ZT4 ZT16
AT5G54650 ZT0 ZT16
AT5G54630 ZT12 ZT0
AT5G54380 ZT4 ZT0
AT5G54310 ZT12 ZT0
AT5G54290 ZT4 ZT20
AT5G53880 ZT4 ZT20
AT5G54130 ZT8 ZT0
AT5G54080 ZT12 ZT0
AT5G54110 ZT12 ZT0
AT5G54190 ZT0 ZT8
AT5G54170 ZT4 ZT0
AT5G54160 ZT16 ZT4
AT5G54180 ZT0 ZT12
AT5G54280 ZT12 ZT20
AT5G54300 ZT16 ZT0
AT5G53970 ZT8 ZT0
AT5G53570 ZT4 ZT0
AT5G53830 ZT8 ZT16
AT5G53760 ZT0 ZT12
AT5G53900 ZT8 ZT0
AT5G53920 ZT4 ZT12
AT5G53580 ZT12 ZT20
AT5G53200 ZT8 ZT0
AT5G53120 ZT0 ZT4
AT5G53250 ZT12 ZT0
AT5G53350 ZT0 ZT16
AT5G53360 ZT8 ZT0
AT5G53400 ZT0 ZT12
AT5G53370 ZT8 ZT0
AT5G53310 ZT12 ZT16
AT5G53460 ZT12 ZT20
AT5G53450 ZT0 ZT16
AT5G53420 ZT0 ZT12
AT5G53480 ZT20 ZT12
AT5G53550 ZT8 ZT0
AT5G52950 ZT0 ZT12
AT5G52900 ZT12 ZT0
AT5G52870 ZT8 ZT0
AT5G52840 ZT4 ZT12
AT5G52880 ZT0 ZT12
AT5G53020 ZT0 ZT16
AT5G53030 ZT12 ZT0
AT5G53090 ZT0 ZT8
AT5G53160 ZT12 ZT0
AT5G53170 ZT8 ZT16
AT5G52560 ZT0 ZT4
AT5G52850 ZT4 ZT12
AT5G52540 ZT4 ZT16
AT5G52570 ZT16 ZT0
AT5G52580 ZT16 ZT0
AT5G52670 ZT16 ZT4
AT5G52760 ZT4 ZT12
AT5G52750 ZT0 ZT12
AT5G52780 ZT4 ZT16
AT5G52810 ZT0 ZT12
AT5G52640 ZT0 ZT12
AT5G52450 ZT4 ZT20
AT5G52420 ZT8 ZT0
AT5G52310 ZT0 ZT8
AT5G52180 ZT20 ZT4
AT5G52250 ZT8 ZT0
AT5G52190 ZT4 ZT12
AT5G52240 ZT4 ZT16
AT5G52300 ZT0 ZT4
AT5G52320 ZT0 ZT12
AT5G52380 ZT20 ZT8
AT5G52430 ZT4 ZT20
AT5G52470 ZT20 ZT4
AT5G52500 ZT12 ZT4
AT5G52040 ZT0 ZT4
AT5G51720 ZT16 ZT0
AT5G51840 ZT0 ZT8
AT5G51820 ZT4 ZT12
AT5G51830 ZT0 ZT8
AT5G51890 ZT12 ZT0
AT5G51910 ZT12 ZT0
AT5G51980 ZT4 ZT0
AT5G52050 ZT12 ZT16
AT5G52060 ZT16 ZT4
AT5G52070 ZT8 ZT0
AT5G51970 ZT4 ZT20
AT5G52110 ZT8 ZT16
AT5G52100 ZT4 ZT20
AT5G51460 ZT8 ZT0
AT5G51570 ZT4 ZT12
AT5G51550 ZT12 ZT0
AT5G51670 ZT12 ZT0
AT5G51770 ZT4 ZT12
AT5G51400 ZT4 ZT0
unknown_316 ZT0 ZT12
AT5G51260 ZT20 ZT4
AT5G51140 ZT4 ZT20
AT5G51180 ZT4 ZT0
AT5G51350 ZT4 ZT12
AT5G51020 ZT8 ZT20
AT5G50915 ZT8 ZT16
unknown_319 ZT0 ZT8
AT5G50720 ZT0 ZT8
AT5G50800 ZT16 ZT4
AT5G50840 ZT0 ZT8
AT5G50810 ZT20 ZT12
AT5G51030 ZT8 ZT4
AT5G51050 ZT0 ZT12
AT5G51070 ZT4 ZT16
AT5G51040 ZT8 ZT20
AT5G51100 ZT4 ZT12
AT5G50450 ZT0 ZT8
AT5G50360 ZT20 ZT4
AT5G50370 ZT20 ZT8
unknown_321 ZT4 ZT12
AT5G50375 ZT20 ZT12
AT5G50460 ZT0 ZT12
unknown_331 ZT0 ZT8
unknown_332 ZT4 ZT16
AT5G50740 ZT0 ZT4
AT5G49950 ZT0 ZT12
AT5G50100 ZT16 ZT4
AT5G50160 ZT0 ZT8
AT5G50180 ZT4 ZT16
AT5G50230 ZT12 ZT0
unknown_335 ZT8 ZT0
AT5G50210 ZT8 ZT20
AT5G50250 ZT0 ZT12
AT5G50350 ZT4 ZT12
AT5G49980 ZT4 ZT20
AT5G49990 ZT4 ZT0
unknown_337 ZT0 ZT12
AT5G49680 ZT4 ZT16
AT5G49710 ZT12 ZT0
unknown_338 ZT12 ZT4
AT5G49760 ZT0 ZT8
AT5G49720 ZT8 ZT0
AT5G49900 ZT4 ZT12
AT5G49910 ZT0 ZT12
AT5G49640 ZT4 ZT0
AT5G49550 ZT0 ZT8
AT5G49540 ZT20 ZT8
AT5G49510 ZT20 ZT8
AT5G49650 ZT0 ZT8
AT5G49230 ZT8 ZT0
AT5G49330 ZT8 ZT12
AT5G49160 ZT0 ZT12
AT5G49410 ZT4 ZT12
unknown_341 ZT12 ZT0
AT5G49480 ZT8 ZT0
AT5G49570 ZT0 ZT12
AT5G49580 ZT8 ZT20
AT5G49630 ZT0 ZT4
AT5G49360 ZT12 ZT0
AT5G49170 ZT12 ZT0
AT5G48790 ZT12 ZT20
AT5G48880 ZT0 ZT4
AT5G48960 ZT4 ZT12
AT5G49010 ZT20 ZT12
unknown_342 ZT4 ZT12
AT5G48930 ZT12 ZT4
AT5G48910 ZT0 ZT12
AT5G49150 ZT20 ZT8
AT5G49100 ZT8 ZT0
AT5G48570 ZT0 ZT12
AT5G48590 ZT16 ZT4
AT5G48730 ZT0 ZT12
AT5G48850 ZT8 ZT16
AT5G48870 ZT4 ZT16
AT5G48840 ZT20 ZT12
AT5G48900 ZT12 ZT4
AT5G48810 ZT4 ZT16
AT5G48490 ZT12 ZT0
AT5G48485 ZT8 ZT0
AT5G48540 ZT8 ZT0
AT5G48220 ZT16 ZT8
AT5G48150 ZT16 ZT4
AT5G48230 ZT4 ZT16
AT5G48310 ZT0 ZT8
AT5G48330 ZT0 ZT12
AT5G48360 ZT12 ZT0
AT5G48370 ZT0 ZT12
AT5G48380 ZT4 ZT12
AT5G48430 ZT12 ZT0
AT5G48520 ZT16 ZT4
AT5G48470 ZT0 ZT12
AT5G48280 ZT8 ZT16
AT5G48180 ZT8 ZT16
AT5G47910 ZT8 ZT16
AT5G47810 ZT8 ZT0
AT5G47970 ZT8 ZT0
AT5G48020 ZT0 ZT12
unknown_346 ZT20 ZT8
AT5G48250 ZT4 ZT8
AT5G47930 ZT20 ZT8
AT5G47840 ZT12 ZT0
AT5G47880 ZT20 ZT4
AT5G47540 ZT12 ZT0
AT5G47560 ZT8 ZT0
AT5G47620 ZT8 ZT0
AT5G47610 ZT8 ZT0
AT5G47455 ZT0 ZT8
AT5G47550 ZT8 ZT0
AT5G47640 ZT4 ZT12
AT5G47650 ZT8 ZT4
AT5G47730 ZT8 ZT12
AT5G47920 ZT20 ZT8
AT5G47720 ZT8 ZT0
AT5G47360 ZT12 ZT4
AT5G47420 ZT20 ZT12
AT5G47440 ZT12 ZT0
AT5G47200 ZT8 ZT16
AT5G47240 ZT0 ZT8
AT5G47390 ZT12 ZT0
AT5G47180 ZT4 ZT0
AT5G47210 ZT0 ZT12
AT5G47230 ZT20 ZT8
AT5G47320 ZT0 ZT12
AT5G47435 ZT12 ZT0
AT5G47500 ZT0 ZT12
AT5G47510 ZT0 ZT12
AT5G47310 ZT12 ZT0
AT5G47330 ZT0 ZT8
AT5G46860 ZT4 ZT12
AT5G46920 ZT0 ZT8
AT5G47040 ZT12 ZT4
AT5G47050 ZT8 ZT0
AT5G47060 ZT0 ZT8
AT5G47070 ZT4 ZT16
AT5G47080 ZT4 ZT0
AT5G47100 ZT0 ZT8
AT5G47110 ZT12 ZT0
AT5G47120 ZT20 ZT12
AT5G47250 ZT4 ZT12
AT5G46800 ZT8 ZT20
AT5G46690 ZT20 ZT8
AT5G46740 ZT0 ZT12
AT5G46500 ZT8 ZT0
AT5G46520 ZT4 ZT12
unknown_351 ZT8 ZT0
AT5G46560 ZT20 ZT4
AT5G46570 ZT0 ZT8
AT5G46580 ZT0 ZT12
AT5G46640 ZT8 ZT0
AT5G46700 ZT0 ZT12
AT5G46750 ZT20 ZT12
AT5G46830 ZT0 ZT4
AT5G46780 ZT8 ZT0
AT5G46840 ZT12 ZT0
AT5G46710 ZT0 ZT8
AT5G46680 ZT0 ZT12
AT5G46450 ZT8 ZT20
AT5G46460 ZT0 ZT8
AT5G46470 ZT20 ZT4
AT5G46020 ZT12 ZT0
AT5G46190 ZT4 ZT0
AT5G46150 ZT12 ZT0
AT5G46110 ZT16 ZT4
AT5G46280 ZT0 ZT4
AT5G46410 ZT8 ZT0
AT5G46295 ZT0 ZT8
AT5G46250 ZT8 ZT0
AT5G45800 ZT0 ZT8
AT5G45820 ZT16 ZT4
AT5G45830 ZT12 ZT4
AT5G45750 ZT0 ZT8
AT5G45840 ZT16 ZT4
AT5G45950 ZT16 ZT4
AT5G45940 ZT16 ZT4
AT5G45960 ZT20 ZT4
AT5G45710 ZT12 ZT0
AT5G45550 ZT4 ZT16
AT5G45410 ZT16 ZT0
AT5G45610 ZT0 ZT8
AT5G45590 ZT0 ZT4
AT5G45680 ZT4 ZT0
AT5G45700 ZT20 ZT8
AT5G45360 ZT4 ZT0
AT5G45350 ZT8 ZT0
AT5G45310 ZT12 ZT0
AT5G45000 ZT0 ZT12
AT5G45010 ZT4 ZT16
AT5G45050 ZT4 ZT0
AT5G45060 ZT8 ZT0
AT5G45040 ZT4 ZT0
AT5G45130 ZT4 ZT16
AT5G45140 ZT0 ZT8
AT5G45250 ZT4 ZT16
AT5G45300 ZT20 ZT8
AT5G44660 ZT4 ZT20
AT5G44680 ZT12 ZT20
AT5G44670 ZT8 ZT0
AT5G44730 ZT0 ZT8
AT5G44820 ZT0 ZT12
AT5G44720 ZT0 ZT12
AT5G44785 ZT0 ZT8
AT5G44870 ZT8 ZT20
AT5G44910 ZT12 ZT0
AT5G44190 ZT12 ZT0
AT5G44310 ZT20 ZT4
AT5G44320 ZT20 ZT12
AT5G44400 ZT0 ZT12
AT5G44410 ZT0 ZT12
AT5G44340 ZT4 ZT16
AT5G44510 ZT12 ZT20
AT5G44530 ZT16 ZT4
AT5G44560 ZT4 ZT12
AT5G44010 ZT0 ZT8
AT5G44050 ZT20 ZT4
AT5G44020 ZT12 ZT0
AT5G43970 ZT0 ZT8
AT5G43940 ZT0 ZT12
AT5G44070 ZT0 ZT12
AT5G43930 ZT4 ZT0
AT5G43745 ZT0 ZT4
AT5G43910 ZT4 ZT16
AT5G43690 ZT12 ZT4
AT5G43750 ZT8 ZT20
AT5G43830 ZT4 ZT16
AT5G43850 ZT16 ZT4
AT5G43450 ZT16 ZT4
AT5G43380 ZT8 ZT16
AT5G43440 ZT0 ZT8
AT5G43080 ZT0 ZT12
AT5G43100 ZT4 ZT16
AT5G43150 ZT16 ZT4
AT5G43180 ZT12 ZT4
AT5G43140 ZT16 ZT4
AT5G43190 ZT8 ZT0
AT5G43270 ZT8 ZT16
AT5G43280 ZT20 ZT12
unknown_362 ZT16 ZT12
AT5G43430 ZT0 ZT12
AT5G43460 ZT8 ZT0
AT5G42790 ZT0 ZT16
AT5G42820 ZT4 ZT0
AT5G42810 ZT16 ZT0
AT5G42860 ZT0 ZT12
AT5G42940 ZT8 ZT0
AT5G42900 ZT4 ZT8
AT5G42970 ZT0 ZT12
AT5G42890 ZT0 ZT12
AT5G43060 ZT4 ZT20
AT5G42780 ZT8 ZT0
AT5G42750 ZT4 ZT16
AT5G42760 ZT8 ZT0
AT5G42470 ZT4 ZT0
AT5G42480 ZT0 ZT12
AT5G42560 ZT4 ZT0
AT5G42370 ZT20 ZT12
AT5G42650 ZT0 ZT12
AT5G42680 ZT8 ZT0
AT5G42720 ZT16 ZT4
AT5G42420 ZT0 ZT8
AT5G42450 ZT4 ZT12
AT5G42070 ZT12 ZT0
AT5G42150 ZT0 ZT12
AT5G42200 ZT4 ZT16
AT5G42100 ZT8 ZT0
AT5G42050 ZT0 ZT12
unknown_367 ZT8 ZT16
AT5G42250 ZT20 ZT8
AT5G42290 ZT20 ZT8
AT5G42000 ZT4 ZT0
AT5G41650 ZT4 ZT12
AT5G41700 ZT16 ZT0
AT5G41600 ZT20 ZT8
AT5G41685 ZT20 ZT8
AT5G41880 ZT16 ZT4
AT5G41920 ZT0 ZT16
unknown_373 ZT12 ZT0
AT5G41940 ZT12 ZT20
AT5G41760 ZT4 ZT0
AT5G41800 ZT12 ZT16
AT5G41810 ZT0 ZT8
AT5G41050 ZT8 ZT0
AT5G41060 ZT8 ZT0
AT5G41210 ZT0 ZT12
AT5G41460 ZT0 ZT12
AT5G41350 ZT8 ZT20
AT5G41410 ZT0 ZT12
AT5G41560 ZT4 ZT20
AT5G41190 ZT20 ZT4
unknown_377 ZT12 ZT20
AT5G40910 ZT4 ZT20
AT5G40850 ZT8 ZT20
AT5G40890 ZT12 ZT0
AT5G40950 ZT16 ZT4
AT5G41010 ZT20 ZT12
AT5G41080 ZT12 ZT0
AT5G41100 ZT4 ZT20
AT5G40660 ZT0 ZT12
AT5G40770 ZT20 ZT12
AT5G40740 ZT12 ZT0
AT5G40780 ZT0 ZT12
AT5G40480 ZT0 ZT8
AT5G40500 ZT0 ZT4
AT5G40470 ZT8 ZT0
AT5G40540 ZT8 ZT0
AT5G40550 ZT0 ZT8
AT5G40630 ZT16 ZT4
AT5G40640 ZT0 ZT8
AT5G40760 ZT0 ZT16
AT5G40730 ZT12 ZT0
AT5G40690 ZT8 ZT12
AT5G40450 ZT12 ZT20
AT5G40370 ZT0 ZT12
AT5G39860 ZT16 ZT4
AT5G39950 ZT0 ZT12
AT5G40140 ZT20 ZT4
AT5G40150 ZT0 ZT12
AT5G40170 ZT4 ZT8
AT5G40250 ZT4 ZT0
AT5G40300 ZT0 ZT8
AT5G40160 ZT4 ZT16
AT5G40380 ZT12 ZT4
AT5G40390 ZT16 ZT4
AT5G39660 ZT16 ZT0
AT5G39570 ZT0 ZT8
unknown_382 ZT20 ZT8
AT5G39760 ZT0 ZT8
unknown_383 ZT0 ZT12
AT5G39790 ZT0 ZT8
AT5G39840 ZT0 ZT12
AT5G39940 ZT20 ZT12
AT5G39960 ZT0 ZT8
AT5G39980 ZT0 ZT12
AT5G39990 ZT0 ZT8
AT5G40010 ZT12 ZT16
AT5G39730 ZT0 ZT12
AT5G39510 ZT0 ZT8
AT5G39520 ZT20 ZT4
AT5G39410 ZT0 ZT8
unknown_386 ZT0 ZT8
AT5G39580 ZT8 ZT16
AT5G39680 ZT0 ZT8
AT5G39740 ZT20 ZT4
AT5G39320 ZT0 ZT12
AT5G39350 ZT4 ZT12
AT5G39210 ZT4 ZT12
AT5G39340 ZT8 ZT0
unknown_388 ZT4 ZT16
AT5G38890 ZT20 ZT12
unknown_389 ZT12 ZT0
unknown_390 ZT4 ZT12
AT5G38980 ZT4 ZT12
AT5G38895 ZT4 ZT20
AT5G39020 ZT4 ZT8
AT5G39030 ZT0 ZT16
AT5G39090 ZT8 ZT4
AT5G39080 ZT12 ZT0
AT5G39050 ZT12 ZT8
AT5G39220 ZT0 ZT8
AT5G38850 ZT8 ZT0
AT5G38510 ZT0 ZT8
AT5G38480 ZT16 ZT4
AT5G38530 ZT0 ZT12
AT5G38580 ZT16 ZT4
AT5G38690 ZT0 ZT12
AT5G38560 ZT8 ZT0
AT5G38720 ZT0 ZT8
AT5G38220 ZT0 ZT8
AT5G37630 ZT20 ZT4
AT5G37660 ZT8 ZT20
AT5G37670 ZT4 ZT12
AT5G37710 ZT12 ZT0
AT5G37730 ZT16 ZT4
AT5G37740 ZT4 ZT16
AT5G37600 ZT0 ZT8
AT5G37780 ZT0 ZT12
AT5G37850 ZT4 ZT0
unknown_406 ZT0 ZT12
AT5G37260 ZT4 ZT20
AT5G37310 ZT4 ZT12
AT5G37360 ZT0 ZT8
AT5G37290 ZT4 ZT0
unknown_409 ZT20 ZT8
AT5G37570 ZT4 ZT12
AT5G37480 ZT0 ZT12
AT5G37590 ZT0 ZT12
AT5G36890 ZT0 ZT12
AT5G36880 ZT0 ZT12
AT5G36930 ZT4 ZT12
AT5G36940 ZT12 ZT4
AT5G36910 ZT20 ZT4
AT5G37055 ZT4 ZT0
unknown_416 ZT8 ZT20
unknown_417 ZT20 ZT8
unknown_420 ZT0 ZT8
AT5G35830 ZT16 ZT0
AT5G35970 ZT16 ZT4
AT5G35980 ZT8 ZT0
unknown_429 ZT0 ZT8
AT5G36160 ZT0 ZT4
AT5G36170 ZT4 ZT20
AT5G35790 ZT12 ZT20
AT5G35510 ZT8 ZT4
AT5G35530 ZT20 ZT4
AT5G35460 ZT16 ZT4
AT5G35560 ZT0 ZT8
AT5G35630 ZT8 ZT20
AT5G35740 ZT4 ZT20
AT5G35735 ZT0 ZT8
AT5G35700 ZT20 ZT4
AT5G35490 ZT16 ZT0
AT5G24390 ZT4 ZT16
AT5G24430 ZT8 ZT0
AT5G24400 ZT8 ZT16
AT5G24360 ZT0 ZT12
AT5G24450 ZT12 ZT20
AT5G24520 ZT12 ZT0
AT5G24470 ZT0 ZT8
AT5G24490 ZT4 ZT20
AT5G24570 ZT4 ZT16
AT5G24660 ZT8 ZT12
AT5G24610 ZT4 ZT8
AT5G24530 ZT0 ZT12
